Record ID,Institution Name:,Please indicate your gender:,Please indicate your racial/ethnic identity:  (You may select more than one option.),What is your current marital status?  (You may select more than one option.),Please indicate your current appointment:  (You may select more than one option.),Track: Other,"In your career as faculty, have you had any leadership title or role?","In your career as faculty, how many leadership positions have you held?","What is the highest incentivized leadership position have you had?  (Incentives may be monetary, less clinic time, etc.)","As faculty, on average, how many publications have you published per year in peer-reviewed journals over the last 5 years?",How many publications were you first or last author?,"What is the total number of funded projects or studies to date?  (A funded project or study is defined as one for which you were a principal investigator (PI), co-PI, site PI, or co-investigator receiving salary support.)",Please select the types of funding sources for your projects or studies.  (You may select more than one option.),Funding Sources: Other,"What is the maximum funding for a single grant or funding source you have received as faculty? (in US dollars, including total cost (direct and indirect))","As faculty, how many total awards have you received to date?",At which level were the awards given?  (You may select more than one option.),Level of awards: Other,"As faculty, how many total times have you been invited as a guest speaker?  (A guest speaking engagement is defined as occurring outside your current department ex. grand rounds, workshop lead, panelist.)",At which level were the guest speaking engagements given?  (You may select more than one option.),Level of guest speaking arrangements: Other,The demands of my family and/or spouse/partner interfere with my work-related activities.,I have to put off doing things at work because of the demands on my time at home.,Things I want to do at work do not get done because of the demands of my family and/or spouse/partner.,"My home life interferes with my responsibilities at work such as getting to work on time, accomplishing daily tasks, and working overtime.",Family-related strain interferes with my ability to perform job-related duties.,Domestic responsibilities are shared equally with spouse/partner.,Taking care of children when they are sick at home,Taking days off from work when children are sick,"Handling chores related to childcare (eg, laundry, cooking, cleaning)",Managing children's activities and schedule,Playing or doing activities with children,Does your work/career interfere with your personal life?,In what ways does your work/career interfere with your personal life?,Are you interested in answering questions on burnout?,Why are you not interested in answering questions on burnout?,"In general, how do you feel about your time? Would you say that you feel rushed?","Pre-COVID: Overall, based on your definition of burnout, how would you rate your level of burnout?",I deal very effectively with the problems of my patients.,I feel I treat some patients as if they were impersonal objects.,I feel emotionally drained from my work.,I feel fatigued when I get up in the morning and have to face another day on the job.,I've become more callous towards people since I took this job.,I feel I'm positively influencing other people's lives through my work.,Working with people all day is really a strain for me.,I don't really care what happens to some patients.,I feel exhilarated after working closely with my patients.
113,1,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,2,0,0,,0,,,,3,Institutional,,0,,,Neither Agree or Disagree (4),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,Not enough time to spend with family,No,Prefer to not answer,,,,,,,,,,,
114,1,Woman,Asian,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,10,Division Chief;    Medical Director ,2,20,30,"Not-for-profit organizational grants,Foundational grants,Industry trials,Other: {sourceetc}",HRSA ,"$750,000 ",8,"Local,Regional,National",,100,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Always,"Very little personal time.  When home, typically having to respond to work emails or texts even on weekends.  On vacation, have to take work computer and it is expected by colleagues and leadership to be responsive and available .",Yes,,Always feel rushed,5 Completely burned out,Every day,A few times per month,Every day,A few times per week,A few times per month,A few times per week,A few times per week,A few times per year,Once per week
115,6,Woman,White,Single,Tenure Track,,Yes,4,Chief of Division,5,2,30,"NIH grants,Institutional grants,Not-for-profit organizational grants,Industry trials",,"250,000",3,"Institutional,Other: {levelawardetc}",Division,30,"Institutional,Local,National,International",,Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),N/A,,,,,,Rarely,,No,Survey fatigue,,,,,,,,,,,
116,6,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,3,2,8,"Institutional grants,Foundational grants,Industry trials",,150000 per year for 4 years,1,Institutional,,4,"Institutional,National",,Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Very Strongly Disagree (1),,,,,,Sometimes,"I often have to address emails, work on papers, or schedule meetings outside of normal business hours in order to keep up with the demands of my job. I almost always have to complete charting in the evenings of clinic days and busy service weeks. I tend to plan travel/vacation around times when I have to cancel the fewest clinics because it is so challenging to find clinic appointments for patients, that I avoid closing clinics when possible. ",Yes,,Always feel rushed,3 Moderately burned out,Once per week,Once per month or less,Once per week,A few times per week,A few times per week,Every day,A few times per week,Never,A few times per month
117,6,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,2,medical director of epilepsy center,2,8,2,"NIH grants,Not-for-profit organizational grants",,,1,Institutional,,5,"Local,Regional,National",,Very Strongly Disagree (1),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Disagree (1),Disagree (3),I do more,Partner does more,I do more,I do more,Share equally,Always,,No,Survey fatigue,,,,,,,,,,,
118,6,Woman,Hispanic/Latino,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,Associate Program Director,1,1,0,,,,0,,,1,National,,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Neither Agree or Disagree (4),I do more,Share equally,Share equally,I do more,Share equally,Often,"working weekends, missing family activities or children's activities and therapies (son with special needs), unable to have enough ""family time"" during the weekdays ",Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Once per month or less,A few times per month,A few times per week,A few times per year,A few times per week,Once per week,Never,A few times per week
119,6,Woman,Black or African American,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,1,1,0,,,,0,,,2,Local,,Agree (5),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Neither Agree or Disagree (4),Strongly Disagree (2),,,,,,Often,"I will spend a full day in clinic with residents/students and focus on teaching, then have to go home and write all my notes with no time to spend with husband.",Yes,,Always feel rushed,3 Moderately burned out,Once per week,A few times per week,Every day,Every day,Once per month or less,A few times per month,A few times per week,A few times per year,A few times per year
120,2,Woman,White,Single,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,Yes,3,vice chair,3,6,0,,,,0,,,65,"Institutional,Local,Regional,National,International",,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),N/A,,,,,,Always,My home life does not interfere with my career because I literally spend 90% of my time at work.,Yes,,Always feel rushed,4 Very burned out,A few times per week,Once per week,Every day,Every day,Every day,A few times per week,A few times per week,A few times per month,A few times per year
121,2,Man,Hispanic/Latino,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Other: {trackmisc}",Tenured clinician scientist,Yes,2,Div Director,10,5,6,NIH grants,,"5.000.000,00",5,"Institutional,Regional,National",,20,"Regional,National,International",,Strongly Disagree (2),Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),Agree (5),Share equally,Share equally,Partner does more,Partner does more,Share equally,Never,,Yes,,Almost never feel rushed,1 Not at all burned out,A few times per week,Never,Never,Never,Never,Every day,Never,Never,Every day
122,6,Prefer not to answer,Prefer not to say,Married,Tenure Track,,Yes,5,leadership,30,20,15,"NIH grants,Foundational grants",,8 million,15,"Institutional,National",,50,"Institutional,Local,Regional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,"  ""Interferes"" is a biased term. My work is demanding and this places constraints on my personal time, but that is appropriate given my decision to become a doctor and given my career choices.",Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Never,A few times per week,A few times per year,Never,Every day,Never,Never,A few times per month
123,2,Woman,White,Married,"Academic Track - Research,Tenure Track",,Yes,3,Assistant Medical Director role,1,1,5,"NIH grants,Institutional grants,Foundational grants,Industry trials",,250000,0,,,3,"Institutional,Regional",,Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Very Strongly Agree (7),Other caregiver,Partner does more,Other caregiver,I do more,Share equally,Sometimes,"Time commitment, fatigue from work carries over into personal life. ",Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,A few times per month,Once per week,A few times per month,Once per month or less,A few times per week,A few times per month,A few times per year,A few times per month
124,2,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,Yes,2,Vice-chair,45,17,9,"NIH grants,Institutional grants,Foundational grants",,$10M over 7 years,0,,,33,"Institutional,Regional,National,International",,Agree (5),Neither Agree or Disagree (4),Disagree (3),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Disagree (2),,,,,,Often,Too tired or busy to do many activities outside home. Excessive travel (prior to COVID) and working weekends has made it difficult to make friends locally. ,Yes,,Always feel rushed,4 Very burned out,Once per week,A few times per year,Every day,Every day,A few times per month,A few times per month,A few times per year,Never,A few times per year
125,2,Woman,White,Separated,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,Yes,2,Medical Director of Ethics Consults (outside my home department in other words...),1,0,0,,,,2,"Institutional,National",,15,"Local,Regional",,Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Agree (7),Very Strongly Disagree (1),I do more,I do more,I do more,I do more,I do more,Often,"When my now-ex spouse, who had been emotionally abusive became physically abusive, I couldn't leave immediately with my child because I was on service and I knew I would have to take off work and there was no one else available to take care of the patients. So I stayed until other attendings came back into town and subsequently was both invalidated in my abuse claim (oh it couldn't have been that bad, they said) and simultaneously  blamed for endangering my child by keeping her in the home during that time. I blame myself as well in this regard but feel like my hands were tied - at one point having to decide whether to help the patient who arrived at the end of the day with a basilar occlusion or go pick up my child from daycare so I wouldn't have to ask my spouse (who was in the post-abusive behavior honeymoon phase) for help. It's a horrible position to be in. I triaged like we are taught to do, figuring the patient was likely to die if I didn't but that if I worked fast maybe I could sufficiently placate my spouse before he got angry again.     Having to interrupt family time to take emergency cases is a big issue. ",Yes,,Always feel rushed,3 Moderately burned out,Every day,Never,A few times per week,Every day,A few times per year,Every day,A few times per week,A few times per year,Every day
126,2,Woman,Asian,Separated,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,0,0,,1,Medical societies,,800,0,,,3,Regional,,Agree (5),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Strongly Agree (6),Very Strongly Agree (7),Neither Agree or Disagree (4),,,,,,Never,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,Never,Never,Never,Every day,Never,Never,Every day
127,2,Man,White,Married,Tenure Track,,Yes,2,"Director, Neurology Residency",1,2,0,,,,0,,,10,"Institutional,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Rarely,Time conflicts.,Yes,,Almost never feel rushed,1 Not at all burned out,Once per week,Never,Never,A few times per year,Never,Every day,Once per month or less,Never,A few times per month
128,2,Man,White,Married,Tenure Track,,Yes,2,"Director, Neurology Residency",1,2,0,,,,0,,,10,"Institutional,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Sometimes,Time conflicts,No,Already answered in a previous burnout survey,,,,,,,,,,,
129,10,Woman,White,Long-term committed relationship,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,none of my leadership positions have incentives,4,1,1,Not-for-profit organizational grants,,I have not received funding as a faculty (grant was pre-faculty position),0,,,3,Institutional,,Agree (5),Agree (5),Agree (5),Strongly Agree (6),Disagree (3),Disagree (3),,,,,,Often,"Due to extra responsibilities that are not part of my official job expectations, I am often having to come in early, come in on the weekends, and stay late to complete my work. This cuts into my time spent at home with my partner. ",Yes,,Always feel rushed,3 Moderately burned out,A few times per week,Once per week,A few times per week,A few times per week,Once per week,A few times per week,A few times per month,A few times per year,A few times per month
130,10,Woman,White,Single,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,associate residency program direction,1,1,10,"NIH grants,Institutional grants,Foundational grants,Industry trials",,not sure,0,,,1,Regional,,Neither Agree or Disagree (4),Agree (5),Agree (5),Agree (5),Disagree (3),N/A,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Sometimes,Being on call makes it hard to focus on my taking care of my child. Work stress has interfered with relationships.,No,Survey fatigue,,,,,,,,,,,
131,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Not really anything,1,0,15,Industry trials,,,0,,,3,"Institutional,Local,National",,Agree (5),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),Agree (5),I do more,Partner does more,Share equally,I do more,Share equally,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,A few times per week,Once per week,A few times per year,Once per month or less,A few times per week,Once per week,Once per month or less,Once per week
132,10,Woman,White,Divorced,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,4,Chair,7.2,5,35,"NIH grants,Institutional grants,Foundational grants,Industry trials",,1.5 million,35,"Institutional,National",,25,"Local,Regional,National,International",,N/A,Strongly Disagree (2),N/A,Very Strongly Disagree (1),Very Strongly Disagree (1),N/A,,,,,,Sometimes,Interferes with sleep as well as may hinder downtime for recreation,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per month,A few times per week,Never,Every day,Never,Never,A few times per week
133,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Agree (5),I do more,Share equally,Partner does more,I do more,Share equally,Often,Simply getting home in time for dinner is a struggle. Heavy call burden eats into night/weekend time that I would rather spend with my family. Inflexibility in canceling clinics or finding backup inpatient coverage when my kids are sick. Required meetings are scheduled at times that are difficult for anyone with children ( for example 7:30 am or 5pm). ,Yes,,Always feel rushed,4 Very burned out,Once per week,Once per week,A few times per week,A few times per week,A few times per week,A few times per month,A few times per week,Once per month or less,Once per month or less
134,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,program director,2,0,4,Industry trials,,I don't know,1,Institutional,,7,"Institutional,Local,Regional,National",,Agree (5),Agree (5),Strongly Agree (6),Agree (5),Neither Agree or Disagree (4),Disagree (3),Partner does more,Partner does more,I do more,I do more,Share equally,Sometimes,"In order to have meaningful time with my children on the weekends, or accomplish their tasks such as extra-curriculars, I chose to spend some time during the day on home/family tasks.  Of course, I can't take as much time as I need during the day so I must sacrifice sleep at night to get academic tasks done as well.  I have to balance my non-compensated academic work time with my time making RVUs so I can get the kids to college! ",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,A few times per week,A few times per week,A few times per year,A few times per week,A few times per year,Once per month or less,Once per week
135,10,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Neither Agree or Disagree (4),Agree (5),Agree (5),Agree (5),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Often,Do not go to the doctor regularly ,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Once per week,Once per month or less,Once per month or less,Once per month or less,Every day,A few times per month,Once per month or less,Every day
136,10,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Research",,Yes,3,"less clinic, some limited monetary",16,6,8,NIH grants,,1.25 million/year,0,,,8,"Institutional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Disagree (3),,,,,,Often,"Just a lot to do at work, and drained after.",Yes,,Always feel rushed,3 Moderately burned out,A few times per month,A few times per year,Once per week,A few times per week,Once per month or less,,Once per month or less,Never,A few times per month
137,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,2.5,6,0,,,,0,,,5,"Institutional,Local,Regional,National",,Strongly Agree (6),Agree (5),Agree (5),Agree (5),Agree (5),Agree (5),Share equally,Partner does more,I do more,I do more,Share equally,Often,"Patient phone calls, patient care needs often exceed ""normal working hours."" Not infrequently, I am calling patients and caregivers 6 pm or later, on weekends, or holidays. Also research work, manuscript writing, etc occurs in the evenings and on weekends, so I sometimes miss my kids' activities or time with my husband in order to get these things done so I can maintain a certain level of academic performance beyond patient care",Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per year,Every day,A few times per year,Never,Every day,Once per month or less,Never,A few times per week
138,10,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,1,"none, prior position not incentivized",0,,0,,,,0,,,0,,,N/A,Disagree (3),N/A,Disagree (3),N/A,N/A,Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Rarely,Not having time for partner.,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,A few times per year,A few times per year,A few times per year,A few times per week,A few times per year,Never,A few times per month
139,10,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,None incentivized,0,,20,"Institutional grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"$450,000 ",25,"Institutional,Local,National",,30,"Local,Regional,National,International",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,,No,Prefer to not answer,,,,,,,,,,,
140,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0.3,0,0,,,,0,,,2,"Institutional,Local",,Strongly Agree (6),Strongly Agree (6),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),Strongly Disagree (2),I do more,Share equally,I do more,I do more,I do more,Always,"Messages, pages, calls, charting at home",Yes,,Always feel rushed,5 Completely burned out,Every day,Never,Every day,Every day,Every day,Once per week,Every day,Never,A few times per year
141,10,Woman,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Non-Tenure",,Yes,3,Clinical Vice Chair,1.2,7,0,,,,0,,,42,"Institutional,Local,Regional,National,International",,Disagree (3),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Very Strongly Agree (7),Share equally,Share equally,Share equally,Share equally,Share equally,Sometimes,"Night/weekend coverage, evening meetings.",Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per month or less,A few times per year,Never,Once per week,A few times per month,Never,Once per week
142,10,Woman,Hispanic/Latino,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Tenure Track",,Yes,1,na,3,4,5,"NIH grants,Industry trials",,"$1,500,000 ",1,Regional,,29,"Regional,National,International",,Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Agree (7),,,,,,Never,,No,Survey fatigue,,,,,,,,,,,
143,10,Man,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,Chief of Child Neurology,0.25,2,0,,,,0,,,6,"Institutional,Local,Regional",,Agree (5),Agree (5),Agree (5),Agree (5),Disagree (3),Strongly Agree (6),,,,,,Sometimes,Mostly weekend and weeknight call responsibilities,Yes,,Sometimes feel rushed,3 Moderately burned out,Every day,Never,A few times per week,Every day,A few times per month,A few times per week,Every day,Never,Once per week
144,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Partner does more,Partner does more,Partner does more,Partner does more,Partner does more,Sometimes,,No,,,,,,,,,,,,
145,10,Man,White,Married,Tenure Track,,Yes,3,Never incentivized,5,15,3,"NIH grants,Institutional grants",,,1,Institutional,,12,"Regional,National,International",,Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Disagree (3),I do more,I do more,I do more,I do more,I do more,Often,,No,Survey fatigue,,,,,,,,,,,
146,10,Man,White,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching,Tenure Track",,Yes,2,fellowhip director,2,20,3,Industry trials,,"10,000",7,"Institutional,Local,National",,10,"Institutional,National,International",,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Disagree (3),Disagree (3),Strongly Disagree (2),,,,,,Sometimes,I am tired when I get home from work,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per week,Once per week,Never,Every day,Once per month or less,Never,Every day
147,10,Man,White,Married,Tenure Track,,Yes,3,0,10,3,250,"NIH grants,Industry trials",,2.5mil,0,,,150,"Institutional,Local,Regional,National,International",,Agree (5),Agree (5),Agree (5),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,WORK HOURS SPENT INTERFERES WITH DOMESTIC ACTIVITIES,No,Prefer to not answer,,,,,,,,,,,
148,10,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,1,DEI chair,1,0,0,,,,0,,,0,,,Disagree (3),Agree (5),Neither Agree or Disagree (4),Strongly Disagree (2),Strongly Disagree (2),Strongly Agree (6),Share equally,Partner does more,Share equally,I do more,Share equally,Sometimes,Exhausted and tired after long weeks and cancelling events or choosing to rest rather than do activities with familyh and friends. ,Yes,,Always feel rushed,2 Slightly burned out,A few times per week,Never,Once per week,A few times per month,Once per month or less,Once per week,A few times per month,Never,A few times per year
149,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,2,20% protected time and $30000/year,1,1,0,,,,0,,,0,,,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),,,,,,Rarely,Personal medical needs to be scheduled very far in advance,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,Once per month or less,A few times per month,A few times per year,Every day,A few times per month,A few times per year,Once per week
150,10,Prefer not to answer,Prefer not to say,A status not listed above: {maritalother},Other: {trackmisc},"1,3,5 combination ",Yes,3,department chair,2,2,30,Industry trials,,"120,000",30,"Institutional,National",,100,"Regional,National,International",,Strongly Disagree (2),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Very Strongly Disagree (1),Neither Agree or Disagree (4),,,,,,Sometimes,time,Yes,,Sometimes feel rushed,1 Not at all burned out,Every day,Never,Once per month or less,Never,Never,Every day,Never,Never,A few times per week
151,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,2,Local,,Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Strongly Agree (6),Disagree (3),I do more,I do more,I do more,I do more,I do more,Often,Constant patient phone calls/ care,Yes,,Always feel rushed,4 Very burned out,Every day,Never,Every day,Every day,Once per week,Once per week,Once per month or less,Never,Once per week
152,10,Man,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,5,med staff president,0,,3,Industry trials,,"100,000",0,,,0,,,Agree (5),Strongly Agree (6),Agree (5),Agree (5),Agree (5),Disagree (3),,,,,,Sometimes,being gone at times my parter would like me home as well as working weekends. night call is also a point of issue,No,Survey fatigue,,,,,,,,,,,
153,10,Woman,White,Married,Academic Track - Clinical (clinical appointment with academic appointment),,Yes,3,0,0,,0,,,,0,,,5,"Institutional,Local,Regional",,Agree (5),Agree (5),Agree (5),Agree (5),Neither Agree or Disagree (4),Agree (5),Partner does more,Partner does more,I do more,Share equally,Share equally,Sometimes,Takes time away from my family at times. But my employer and colleagues are generally supportive and flexible,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,Never,Once per week,A few times per month,Never,A few times per week,Never,Never,Once per week
154,7,Woman,Hispanic/Latino,Long-term committed relationship,"Academic Track - Research,Tenure Track",,No,,,1,3,0,,,,0,,,0,,,Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),,,,,,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per year,A few times per year,Never,A few times per month,A few times per year,Never,Once per month or less
155,10,Man,White,Divorced,Clinician Track (clinical appointment with no academic appointment),,Yes,2,Director of stroke program,0,,0,,,,1,Institutional,,10,"Institutional,Local,National",,Disagree (3),Disagree (3),Disagree (3),Strongly Disagree (2),Disagree (3),N/A,Does not apply,Does not apply,Share equally,Share equally,Share equally,Often,Call takes up night and weekends,No,Survey fatigue,,,,,,,,,,,
156,1,Woman,Asian,Married,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,Yes,2,Fellowship Director,3,8,3,"Not-for-profit organizational grants,Industry trials",,"$1,400,000 ",2,Institutional,,5,"Institutional,Local,Regional,National",,Agree (5),Disagree (3),Disagree (3),Strongly Disagree (2),Strongly Disagree (2),Very Strongly Agree (7),Share equally,Share equally,Share equally,Share equally,Share equally,Never,,Yes,,Almost never feel rushed,2 Slightly burned out,Every day,A few times per year,A few times per year,Never,A few times per year,A few times per week,Never,A few times per year,Once per week
157,7,Woman,Prefer not to say,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,4,4,5,"Institutional grants,Other: {sourceetc}",patient donations,"$ 100, 000.00",3,"Institutional,Local",,20,"Institutional,Local,Regional,National",,Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Agree (5),Does not apply,Does not apply,Does not apply,Does not apply,Does not apply,Always,Working on weekends does not allow time with family,Yes,,Sometimes feel rushed,4 Very burned out,Every day,Never,A few times per week,Once per week,A few times per month,Once per month or less,A few times per month,Never,A few times per week
158,7,Prefer not to answer,Black or African American,Long-term committed relationship,Tenure Track,,Yes,1,APD,1,1,0,,,,1,Institutional,,2,"Institutional,Local",,Strongly Agree (6),Agree (5),Agree (5),Strongly Agree (6),Strongly Agree (6),N/A,,,,,,Sometimes,,Yes,,Always feel rushed,3 Moderately burned out,Every day,A few times per year,Once per week,A few times per week,A few times per month,A few times per week,Once per week,Never,A few times per week
159,10,Woman,Asian,Married,Academic Track - Clinical (clinical appointment with academic appointment),,No,,,0,,0,,,,0,,,0,,,Strongly Agree (6),Strongly Agree (6),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Neither Agree or Disagree (4),Agree (5),Share equally,Share equally,I do more,Share equally,I do more,Sometimes,"The usual things- time being the most important, but it's not any more than would be usual for any other kind of work, I guess. Weekend/Holiday call can sometimes be difficult to manage with personal things going on. This rvu system of payment- the stress of churning out rvu's to get to that magical number, trying to fit in more patients in the limited amount of time, while still trying to pick up your child from school on time etc.",No,Survey fatigue,,,,,,,,,,,
160,3,Woman,Native Hawaiian or other Pacific Islander,Married,Tenure Track,,Yes,2,Associate Director of Civitan International Neuroimaging Laboratory,8,7,15,"NIH grants,Institutional grants,Foundational grants",,"$3,075,866 ",6,"Institutional,National",,24,"Institutional,Local,Regional,National",,Agree (5),Agree (5),Agree (5),Strongly Agree (6),Agree (5),Agree (5),I do more,I do more,Share equally,Partner does more,Partner does more,Sometimes,"Unable to spend as much leisure time with family on weekends, since some of that time is being put towards work-related activities (e.g. writing papers or grants).",Yes,,Sometimes feel rushed,3 Moderately burned out,A few times per week,Never,A few times per month,Once per month or less,Never,Every day,A few times per year,Never,A few times per week
161,3,Man,White,Married,"Academic Track - Research,Tenure Track",,Yes,4,Chair of Department,3,5,33,"NIH grants,Not-for-profit organizational grants,Foundational grants,Industry trials",,"2,264,652",33,National,,110,"Institutional,Regional,National,International",,Agree (5),Disagree (3),Disagree (3),Disagree (3),Disagree (3),Disagree (3),,,,,,Sometimes,Interrupts weekends and weeknights,Yes,,Sometimes feel rushed,2 Slightly burned out,A few times per week,Once per month or less,A few times per year,A few times per year,A few times per year,Once per week,Once per month or less,A few times per year,A few times per week
162,3,Man,White,Long-term committed relationship,"Academic Track - Clinical (clinical appointment with academic appointment),Academic Track - Teaching",,No,,,0.5,0,1,Other: {sourceetc},CDC,,0,,,3,"Institutional,Local",,Disagree (3),Agree (5),Disagree (3),Disagree (3),Disagree (3),Strongly Agree (6),,,,,,Sometimes,,Yes,,Sometimes feel rushed,2 Slightly burned out,Every day,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,Once per week,A few times per month,Once per week
